"Player","Pos_C","Pos_F","Pos_PF","Pos_PG","Pos_SF","Pos_SF-PF","Pos_SG","Age","Tm_ATL","Tm_BOS","Tm_BRK","Tm_CHI","Tm_CHO","Tm_CLE","Tm_DAL","Tm_DEN","Tm_DET","Tm_GSW","Tm_HOU","Tm_IND","Tm_LAC","Tm_LAL","Tm_MEM","Tm_MIA","Tm_MIL","Tm_MIN","Tm_NOP","Tm_NYK","Tm_OKC","Tm_ORL","Tm_PHI","Tm_PHO","Tm_POR","Tm_SAC","Tm_SAS","Tm_TOR","Tm_TOT","Tm_UTA","Tm_WAS","G","MP","PER","TS.","X3PAr","FTr","ORB.","DRB.","TRB.","AST.","STL.","BLK.","TOV.","USG.","OWS","DWS","WS","WS.48","OBPM","DBPM","BPM","VORP","GS","FG","FGA","FG.","X3P","X3PA","X3P.","X2P","X2PA","X2P.","eFG.","FT","FTA","FT.","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS","weight","salary","Close.Shot","Mid.Range.Shot","Three.Point.Shot","Free.Throw","Shot.IQ","Offensive.Consistency","Speed","Acceleration","Strength","Vertical","Stamina","Hustle","Overall.Durability","Layup","Standing.Dunk","Driving.Dunk","Post.Hook","Post.Fade","Post.Control","Draw.Foul","Hands","Pass.Accuracy","Ball.Handle","Speed.with.Ball","Pass.IQ","Pass.Vision","Interior.Defense","Perimeter.Defense","Steal","Block","Lateral.Quickness","Help.Defense.IQ","Pass.Perception","Defensive.Consistency","Offensive.Rebound","Defensive.Rebound"
"Steven Adams",1,0,0,0,0,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,27,760,15.9,0.592,0.006,0.397,16.9,18,17.5,10.1,1.7,2,20.1,12.8,1.2,0.5,1.7,0.109,-0.1,-1,-1.1,0.2,27,3.5,5.8,0.603,0,0,0,3.5,5.7,0.606,0.603,1.1,2.3,0.468,4.3,4.6,8.9,2.1,1,0.6,1.7,1.9,8,115.7,25842697,82,68,26,56,85,70,48,37,81,68,93,97,82,74,85,70,63,62,72,65,79,42,35,33,68,57,90,55,41,74,63,90,78,90,90,84
"Bam Adebayo",1,0,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,873,22.7,0.641,0.015,0.469,6.8,23.2,15.4,27.9,1.4,3.2,16.2,24.6,2.3,1.3,3.6,0.196,2.9,2,4.9,1.5,26,7.4,12.9,0.573,0.1,0.2,0.4,7.3,12.7,0.576,0.576,5.1,6,0.841,1.9,7.3,9.2,5.3,1,1,3,2.6,19.9,110.2,3454080,91,78,56,68,97,95,70,69,84,85,95,93,90,79,90,80,76,68,78,84,95,64,60,59,74,71,85,69,49,72,69,86,75,85,75,85
"LaMarcus Aldridge",1,0,0,0,0,0,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,18,480,15.2,0.542,0.298,0.093,3.2,14,8.4,11.4,0.7,2.8,6.4,22.3,0.2,0.5,0.7,0.075,0.3,-1,-0.7,0.2,18,5.9,12.5,0.476,1.3,3.7,0.358,4.6,8.8,0.525,0.529,0.9,1.2,0.762,0.8,3.5,4.3,1.9,0.4,0.9,0.9,1.5,14.1,111.6,2.6e+07,94,87,83,82,95,85,43,46,87,62,95,80,80,78,70,69,92,92,90,70,92,55,42,38,70,43,74,48,36,81,52,83,70,65,57,70
"Jarrett Allen",1,0,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,28,734,22.5,0.695,0.021,0.695,12.6,25.5,19.1,9,0.9,5.5,14.8,17.1,2.3,0.8,3.1,0.203,2.3,0.4,2.7,0.9,10,4.4,6.8,0.642,0,0.1,0.25,4.3,6.6,0.651,0.645,3.6,4.7,0.758,2.9,6.1,9,1.6,0.5,1.6,1.5,1.6,12.3,106.1,2376840,76,54,39,65,98,85,75,72,84,79,86,80,82,74,85,75,66,60,74,78,85,25,35,35,48,34,82,41,38,82,53,83,67,80,81,85
"Giannis Antetokounmpo",0,0,1,0,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,906,28.3,0.62,0.216,0.54,5.6,29.8,18,27.5,1.8,3.5,13.9,33,2.7,1.5,4.3,0.226,5.2,2,7.2,2.1,27,10.3,18.4,0.563,1.1,4,0.29,9.2,14.4,0.638,0.594,6.4,9.9,0.642,1.7,9.7,11.4,5.8,1.3,1.3,3.7,3.1,28.2,109.8,25842697,91,82,74,62,98,98,90,87,70,85,98,95,91,98,85,95,80,74,84,97,95,81,86,86,90,78,86,92,46,70,93,89,88,90,84,94
"Deandre Ayton",1,0,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,27,866,17.7,0.617,0.058,0.219,13,28.9,21.1,8.4,0.5,2.8,15.8,18.8,1.4,1.3,2.7,0.148,-0.5,-0.3,-0.8,0.2,27,6.1,10.3,0.59,0.1,0.6,0.25,5.9,9.7,0.611,0.597,1.6,2.3,0.721,3.7,8.6,12.2,1.8,0.3,1,2.1,3.4,13.9,113.4,9562920,91,71,60,75,97,90,75,65,82,82,90,76,81,79,90,75,82,75,82,80,82,53,60,55,70,42,78,49,38,81,61,78,69,65,85,89
"Bradley Beal",0,0,0,0,0,0,1,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,24,846,24.8,0.591,0.308,0.348,3.9,11.7,7.7,25,1.7,1.2,10.1,36.2,2,0.5,2.5,0.141,6.3,-1.4,4.9,1.5,24,11.4,24,0.473,2.5,7.4,0.337,8.9,16.6,0.534,0.525,7.5,8.4,0.896,1.4,3.8,5.2,4.7,1.3,0.5,3.1,2.5,32.8,93.9,27093018,85,87,80,83,98,98,76,83,56,87,98,78,82,94,30,75,55,55,44,90,81,77,86,76,85,74,45,74,41,47,75,75,65,65,39,52
"Eric Bledsoe",0,0,0,0,0,0,1,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,27,780,12.6,0.556,0.518,0.19,1.8,11.8,6.8,17.7,1.1,0.9,13.2,19.4,0.7,0.2,0.9,0.055,-0.3,-1.7,-2.1,0,26,4.6,10.5,0.437,2.2,5.4,0.401,2.4,5.1,0.474,0.54,1.3,2,0.648,0.5,3.1,3.6,3.7,0.7,0.3,1.7,1.5,12.7,88.5,15625000,71,80,78,83,80,70,85,86,55,88,95,80,81,88,25,71,25,40,28,50,88,83,86,85,84,74,59,91,46,56,91,90,82,90,38,60
"Devin Booker",0,0,0,0,0,0,1,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,23,810,17.2,0.593,0.317,0.294,0.6,10.8,5.8,20.9,1.2,0.8,14.6,30.7,0.6,0.8,1.4,0.082,0.2,-1.1,-0.9,0.2,23,9,18.2,0.492,2,5.8,0.353,6.9,12.4,0.556,0.548,4.4,5.3,0.829,0.2,3.5,3.7,4.4,0.9,0.3,3.5,3.3,24.4,93.4,27285000,90,85,82,91,95,98,76,79,42,70,95,70,81,87,30,50,28,38,30,86,85,79,86,76,83,74,38,70,37,40,74,60,62,60,32,53
"Malcolm Brogdon",0,0,0,1,0,0,0,28,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,1045,18.3,0.548,0.365,0.159,2.4,12.3,7.4,28.1,1.7,0.7,9.5,26.2,1.5,1,2.5,0.115,3,-1.1,2,1,29,8.1,18.4,0.442,2.7,6.7,0.395,5.5,11.7,0.469,0.514,2.7,2.9,0.906,0.8,4.1,4.8,6.6,1.3,0.3,2.1,1.9,21.6,101.2,2e+07,65,93,75,93,98,90,77,77,56,72,93,95,84,76,40,75,44,45,40,88,84,89,86,77,92,79,65,77,38,40,81,77,74,65,39,61
