"Player","hght","n","bx","by","bz","rt","rx","ry","rz","rv","rvx","rvy","rvz","mnv","mnvt","mnvx","mnvy","mnvz","mxv","mxvt","mxvx","mxvy","mxvz","ta1t","ta1x","ta1y","ta1z","at1t","at1x","at1y","at1z","rl1t","rl1x","rl1y","rl1z","pl","spl","plr","Close.Shot","Mid.Range.Shot","Three.Point.Shot","Free.Throw","Shot.IQ","Offensive.Consistency","Speed","Acceleration","Strength","Vertical","Stamina","Hustle","Overall.Durability","Layup","Standing.Dunk","Driving.Dunk","Post.Hook","Post.Fade","Post.Control","Draw.Foul","Hands","Pass.Accuracy","Ball.Handle","Speed.with.Ball","Pass.IQ","Pass.Vision","Interior.Defense","Perimeter.Defense","Steal","Block","Lateral.Quickness","Help.Defense.IQ","Pass.Perception","Defensive.Consistency","Offensive.Rebound","Defensive.Rebound"
"James Harden",77,1138,-0.114509350944436,0.168084679028984,3.3473054010159,0.379,-0.00356656914777947,0.0111703066837103,8.26836181305035,14.3692147704258,-7.30154134503502,-0.446878732267248,12.3677858367621,9.70881688314051,0.307,0.326269096248789,0.0590339722502344,7.48439472733009,19.8331607676314,0.115,-0.402705376758172,-0.0552613615493993,4.87246688810509,0.076,-0.483738854118688,-0.0274941392315442,4.1404931830753,0.28,0.351015085864861,0.0749745497396896,7.21773741980774,0.267,0.34546161022986,0.0772735689614034,7.08090910164591,5.289547439307,4.92480726846307,1.07406181622164,87,90,84,86,98,99,89,89,74,87,98,97,95,98,35,84,60,84,76,98,98,82,97,89,98,79,62,70,59,62,75,63,82,65,40,64
"Damian Lillard",74,1114,-0.142569208812507,-0.181050662738671,2.96923004600262,0.373,0.0188272672555172,-0.0120863651546387,7.72836152167536,14.9383995078823,-7.45209863989745,0.0594585583106807,12.9467552073166,10.0050472079713,0.305,0.303695735134958,0.00502497196821212,6.97172451050945,18.4622627355617,0.116,-0.402924095849779,0.176321248425686,4.46598450521752,0.077,-0.459616051348238,0.0920405779670227,3.780864660914,0.288,0.313234520908734,0.0161861365341839,6.80047316187752,0.158,-0.264657908810357,0.213884792294877,5.19335530147368,5.1066274000146,4.76486412808217,1.07172571195015,88,94,86,89,98,98,87,88,63,89,97,95,98,96,25,85,30,38,42,94,95,94,92,87,95,80,25,69,40,45,77,72,77,55,32,51
"Kyle Lowry",72,886,0.00922305969208581,0.211346747295189,3.11600215306186,0.392,-0.00467614094670624,0.0118286540684539,7.94464497292005,14.3664064243198,-8.34666119784643,0.309380246928038,11.6889334098502,7.44568449358862,0.324,0.38788680749689,0.00219369325412386,7.32719758564497,19.8473604428271,0.123,-0.203414662356671,0.545492818267211,4.88182459989268,0.077,-0.33098140495526,0.563263056187248,4.02575508061453,0.279,0.460290154271857,0.0428883333882052,6.96273144117473,0.094,-0.310647948293568,0.574840649875848,4.32021048870584,5.29731108992703,4.83278306352264,1.09612019002272,68,77,79,86,98,95,84,84,67,72,96,97,79,88,25,25,38,44,40,74,95,89,86,84,89,79,58,86,46,51,84,86,70,80,34,53
"Kevin Love",80,824,-0.784834259265562,0.346102042061465,3.52762101782173,0.382,-0.00522168932404626,-0.015267210382013,8.25197871200977,14.3189256429162,-7.44588966579412,0.0661380676505035,12.2305349191354,8.80361095684811,0.308,0.273031307837897,-0.0182794908557572,7.49952815498622,18.6021813789825,0.116,-0.797702577528965,0.395730484574306,5.15396668695685,0.0600000000000001,-1.00114462634163,0.45774311828867,4.21342814495487,0.304,0.27362390250936,-0.0174980858151311,7.46430436700949,0.0660000000000001,-0.997870857170539,0.458828039294681,4.2961894280571,5.16714459912044,4.80186829457619,1.07606962168388,85,97,82,85,90,80,66,38,85,70,88,96,77,72,75,55,87,85,85,73,90,65,52,33,77,60,69,50,36,47,54,75,57,50,60,93
"Kevin Durant",82,719,-0.511766344189466,0.168016036390322,3.40315257666747,0.391,-0.00621575583283698,-0.0559813098084878,8.94780062676992,15.6704094075521,-8.2119197473664,0.290416978541152,13.3432291084912,7.92481700797331,0.321,0.358100548205818,-0.0679895627131872,8.2501053304107,24.4114266643116,0.123,-0.659065970136686,0.500304898104528,5.44613153173746,0.0740000000000001,-0.812890314171791,0.450660194875761,4.3513670009812,0.297,0.383084934925224,-0.0483181403379769,8.05435472746209,0.12,-0.675285370508622,0.500565863084199,5.37291624907359,6.06823999320498,5.57215202664076,1.08902986928433,98,98,86,89,97,98,80,80,63,77,94,75,88,94,60,85,70,88,80,70,91,75,86,80,78,73,68,86,37,66,87,85,75,85,32,69
"Stephen Curry",75,717,-0.357395410226101,0.133690421673306,3.26289440765108,0.29,-0.0866656694519545,-0.0115540665833522,7.39125791417607,16.7646357601895,-5.42671867763183,-0.419568942626347,15.8564718165186,12.2616885291054,0.218,-0.0257097899420279,0.0591430522860435,6.39069579054194,17.5312802821583,0.125,-0.415058250942917,0.196466369325069,5.01649310492991,0.071,-0.599643060089303,0.236697937259709,4.13620885591732,0.251,0.0398274842297635,0.015316281628935,6.80840803023305,0.078,-0.595870495134126,0.237756260984234,4.2360097713139,4.28750043035528,4.13977967963464,1.03568323972586,91,91,99,92,98,98,84,91,48,73,98,98,86,97,25,36,35,52,35,89,97,93,97,84,97,88,30,75,63,55,81,78,85,65,44,63
"Paul George",80,690,-0.495940074931141,-0.0389092951849377,3.3050242720598,0.384,-0.00611186247468021,-0.0158850499048325,8.46088636692697,14.8032181595891,-7.36765647717985,-0.569733619676743,12.8268589107883,9.03599302102264,0.313,0.262635091686568,0.0628978563540829,7.69730855280705,20.8480805217226,0.12,-0.701249348693078,0.339096638283341,4.98010910069263,0.0720000000000001,-0.808029945711062,0.235986874879817,4.06387716821031,0.311,0.262847683264305,0.0661362752726384,7.67923609813214,0.155,-0.538733606594358,0.368794621031411,5.67428408633941,5.5852196965003,5.17912885868629,1.07840910100797,72,76,83,91,90,90,79,79,65,88,95,80,93,93,55,85,40,74,78,80,90,78,86,79,75,70,79,93,63,55,93,94,92,90,33,74
"LeBron James",81,659,-0.269999330253754,0.117440103174156,3.09823318345155,0.484,-0.00760512692759265,-0.00788844544593013,8.98286747959323,14.3447270615527,-8.18793622615457,1.12726379839971,11.7242556759773,7.30116488892207,0.399,0.434638114240897,-0.138188787369257,8.20185434880968,19.4816883766586,0.186,-0.496731379485171,0.367398334481742,5.72546883246667,0.126,-0.74227679039295,0.458628686876658,4.58905853903954,0.359,0.478974638253725,-0.170439954627489,7.89237399036294,0.14,-0.731293488708339,0.466150950937776,4.85339345585281,6.52108403748716,5.89181455600609,1.10680402030638,90,80,78,69,98,98,89,87,89,89,99,95,97,98,75,85,78,90,89,95,98,90,86,88,98,97,81,87,53,51,88,90,97,50,41,78
"Kemba Walker",72,645,0.256518925373284,0.305272389197579,3.0027860753082,0.384,-0.0373119149844437,-0.0225566878739223,7.89734341995347,13.7665934740858,-6.94794686545418,-0.191175529384781,11.8831217343143,8.44154919823658,0.314,0.270906063457738,0.00414097304973035,7.20675738978035,19.4543362476569,0.118,-0.0905449885012823,0.447835146566063,4.66269873026241,0.083,-0.141868892313112,0.490120277414883,4.00997112590638,0.263,0.313602305526761,0.0619395939288514,6.73775984990211,0.075,-0.138726515963686,0.491791857130213,3.87874783811556,5.18572594812621,4.9143158289369,1.0552284648844,60,91,82,87,95,98,85,90,50,81,93,90,86,89,25,30,28,60,35,80,88,89,96,85,92,72,32,75,43,56,77,72,77,60,36,52
"Gordon Hayward",79,624,-0.105053042401049,0.230199504292136,3.24663879462511,0.38,-0.00717270392056374,0.00239291593454112,7.96766169648107,13.2762699298498,-6.73215490420553,-0.468391732399625,11.4331991490149,8.88385497615029,0.311,0.238882144614248,0.0522912881151871,7.27206454411825,19.3408153790244,0.117,-0.50260536781561,0.40439322947152,4.67911184417199,0.088,-0.536149613623105,0.398012926165557,4.13724237889725,0.306,0.23982386256032,0.0572872774944487,7.22761363046623,0.112,-0.512420500773018,0.404758663955083,4.58249989645203,5.11826766228318,4.72752933805901,1.0826516973842,94,83,83,88,95,85,80,77,63,75,80,86,78,87,40,75,40,65,58,40,91,75,77,77,79,68,56,73,38,51,76,73,58,65,42,69
